Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
23.07,0,0.165565353,0.165565353,0.163550714,0.165565353,0.163550714,0,0,0,0,7.190502324,163.7563285,183.3773657,5405848000
23.08,0,0.165562311,0.165562311,0.163549362,0.165562311,0.163549362,0,0,0,0,7.189890643,163.7473062,183.373952,5408191000
23.09,0,0.16555926,0.16555926,0.163547999,0.16555926,0.163547999,0,0,0,0,7.189279713,163.7382882,183.3705396,5410534000
23.1,0,0.16555622,0.16555622,0.163546645,0.16555622,0.163546645,0,0,0,0,7.188669383,163.7292943,183.3671402,5412878000
23.11,0,0.165553187,0.165553187,0.163545296,0.165553187,0.163545296,0,0,0,0,7.188059356,163.7203041,183.3637429,5415221000
23.12,0,0.165550144,0.165550144,0.163543935,0.165550144,0.163543935,0,0,0,0,7.187450007,163.7112952,183.3603343,5417564000
23.13,0,0.165547112,0.165547112,0.163542582,0.165547112,0.163542582,0,0,0,0,7.186840914,163.7023057,183.3569367,5419907000
23.14,0,0.165544087,0.165544087,0.163541235,0.165544087,0.163541235,0,0,0,0,7.186232549,163.6933278,183.3535447,5422250000
23.15,0,0.165541062,0.165541062,0.163539884,0.165541062,0.163539884,0,0,0,0,7.185624753,163.6843431,183.3501482,5424594000
23.16,0,0.165538039,0.165538039,0.163538535,0.165538039,0.163538535,0,0,0,0,7.185017292,163.6753749,183.3467611,5426937000
23.17,0,0.16553502,0.16553502,0.163537187,0.16553502,0.163537187,0,0,0,0,7.184410481,163.6663936,183.3433657,5429280000
23.18,0,0.165532004,0.165532004,0.16353584,0.165532004,0.16353584,0,0,0,0,7.18380437,163.6574472,183.3399891,5431624000
23.19,0,0.165528999,0.165528999,0.163534502,0.165528999,0.163534502,0,0,0,0,7.183198538,163.6484898,183.3366064,5433967000
